,QueryName,ReleaseDate,RequiredAge,DLCCount,Metacritic,RecommendationCount,SteamSpyOwners,SteamSpyPlayersEstimate,AchievementCount,ControllerSupport,IsFree,SubscriptionAvail,CategorySinglePlayer,CategoryMultiplayer,CategoryCoop,CategoryMMO,CategoryInAppPurchase,CategoryIncludeLevelEditor,CategoryVRSupport,GenreIsIndie,GenreIsAction,GenreIsAdventure,GenreIsCasual,GenreIsStrategy,GenreIsRPG,GenreIsSimulation,GenreIsEarlyAccess,GenreIsFreeToPlay,GenreIsSports,GenreIsRacing,GenreIsMassivelyMultiplayer,PriceCurrency,PriceInitial,PriceFinal,Reviews
45,Arx Fatalis,Apr 3 2007,0,0,77,389,119806,57033,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,USD,4.99,4.99,IGN Awards Arx Fatalis an 8/10The spell casting system (...) is probably the most fun Ive had with magic in a game in a long time.RPGDot gives Arx Fatalis a 91%Clever dungeon design exciting story and challenging puzzles makes this the most intelligent RPG around
47,Earth 2160,Apr 1 2006,0,0,73,412,236024,94876,0,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,USD,4.99,4.99,It may not replace Star Craft in terms of stature - but its damn close. The multiplayer matches are suitably intense and the single-player campaign delivers everything in terms of both expectation and intention.90 - Gamers HellAn extremely lengthy deep and beautiful strategy experience. From the very start youll find yourself drawn in and playing for quite a long time.85 - Worth PlayingThe super high learning cure will absolutely knock quite a few gamers out of their seats.87 - BonusStage
48,Two Worlds: Epic Edition,Apr 30 2009,17,1,65,2399,942661,416629,0,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,USD,9.99,9.99,The big player alongside Oblivion and Gothic 3 [...] Great RPG!85 - GamestarIf youve been jonesing for a return to a huge open-ended roleplaying world with a ton of depth and a rousing storyline youll find yourself right at home in at least one of these Two Worlds.81 - PC GamerA worthy competitor of genre greats like Gothic and Oblivion!87 - PC Action
49,Dark Messiah of Might & Magic Single Player,Oct 25 2006,17,0,72,2776,966156,405509,0,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,USD,9.99,9.99, 
51,Quake III Arena,Aug 3 2007,0,0,0,656,319063,141686,0,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,USD,14.99,14.99, 
52,Quake 4,Aug 4 2011,17,0,81,509,173790,93082,0,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,USD,14.99,14.99, 
53,Wolfenstein 3D,Aug 3 2007,0,0,0,1061,288035,134871,0,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,USD,4.99,4.99, 
54,The Ultimate DOOM,Aug 3 2007,0,0,0,2000,446580,234051,0,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,USD,4.99,4.99, 
55,Final DOOM,Aug 3 2007,0,0,0,389,374123,116577,0,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,USD,4.99,4.99, 
56,DOOM II: Hell on Earth,Aug 3 2007,0,0,83,1279,443890,194594,0,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,USD,4.99,4.99, 
57,Quake,Aug 3 2007,0,0,94,1266,340047,181860,0,False,False,False,True,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,USD,4.99,4.99, 
58,Quake II,Aug 3 2007,0,0,0,660,318525,140969,0,False,False,False,True,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,USD,4.99,4.99, 
59,Quake II: The Reckoning,Aug 3 2007,0,0,0,0,279247,18114,0,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,USD,2.99,2.99, 
60,Quake II: Ground Zero,Aug 3 2007,0,0,0,0,278171,22239,0,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,USD,2.99,2.99, 
61,Quake III: Team Arena,Aug 3 2007,0,0,69,0,317987,51115,0,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,USD,14.99,14.99, 
62,HeXen: Beyond Heretic,Aug 3 2007,0,0,0,158,184551,37305,0,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,USD,4.99,4.99, 
63,HeXen: Deathkings of the Dark Citadel,Aug 3 2007,0,0,0,0,178632,17038,0,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,USD,4.99,4.99, 
64,Heretic: Shadow of the Serpent Riders,Aug 3 2007,0,0,0,241,185089,46452,0,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,USD,4.99,4.99, 
65,The Ship,Jul 11 2006,0,0,76,5026,1364671,928313,0,False,True,False,True,True,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,USD,9.99,9.99,its gameplay and design draw on everything from Poirot to Quake with even a slightly unhealthy dose of The Sims thrown into the mix - but the game is much more than the sum of its well worn parts8 - VideogamerUnlike a lot of its hybrid predecessors this multigenre multiplayer game really is something completely different. While the game draws on identifiable sources such as Quake The Sims and Clue it mashes these elements together with a few new ideas to create an innovative experience that doesnt play like any of its inspirations.8.3 - Gamespotthe game twists around the Clue formula to make it a little more interesting. Instead of having to uncover a killer The Ship makes you the killer. The main gameplay mechanic revolves around finding your target called your quarry and breaking their face as stealthily as possible. To do so there are plenty of lethal odds-and-ends to wield and even some environmental traps. Its certainly a quirky take on first-person gaming but its an entertaining one once you get the hang of it.7.4 - IGN
66,The Ship Single Player,Nov 20 2006,0,0,0,706,1327366,366411,0,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False, ,0.0,0.0, 
67,Bloody Good Time,Oct 29 2010,0,0,73,716,116936,90392,12,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,USD,4.99,4.99, 
68,Shadowgrounds,May 8 2006,17,0,74,973,565669,245530,0,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,USD,6.99,6.99,There have been a lot of games throughout the last two decades that have pulled off great run-and-gun gameplay. The old school title Alien Syndrome comes to mind as does Crusader: No Remorse. If you are looking for an updated version of either of those two titles you cant go wrong with Shadowgrounds.- GamingTrendShadowgrounds takes a page from Smash TV offering an overhead view of explosive chaos. Shadowgrounds is an ambitious work and admirable accomplishment for a small developer.- IGN
69,Gumboy: Crazy Adventures,Dec 19 2006,0,0,69,0,72637,17397,0,False,True,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,USD,4.99,4.99,GameTunnel - 8/10 and 2006 Game of the YearOne of the quirkiest and best put together games Ive played in quite awhile. This game has a bounty of inventive innovation from its visually impressive and original theme to its keep you on your toes and constantly changing gameplay... Gumboy is quite possibly the best indie game Ive played this year. Read the full review here.GamersMark - 8/10... The first thing youll notice when you play Gumboy is that its absolutely gorgeous.
71,RIP,Jun 1 2007,0,0,0,291,137920,34614,0,False,False,False,True,True,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,USD,4.99,4.99,GameTunnel gives RIP 3 a 73%The RIP series is getting better with every game in my personal estimation. The wide variety of characters with vehicles and weapons that get cooler with each new game should not be missed. Read the full review here.GamePlasma gives RIP - Trilogy an 8.4I had no idea what to expect but after a couple minutes with the game I was lost to it. This shooter brought back memories of Smash TV and the countless hours that I had lost to it in my youth. Read the full review here.
75,Alpha Prime,Nov 7 2007,17,0,59,984,312427,64207,0,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,USD,4.99,4.99,Alpha Prime demanded something more of me than most other first-person shooter action games on the market. I couldnt just waltz into a room juggling grenades with my guns blazing and expect to survive. I had to bring my brain back out of retirement and think aim and act tactically.- WorthPlaying
76,Vampire: The Masquerade - Bloodlines,Mar 22 2007,17,0,80,3983,544326,407303,0,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,USD,19.99,19.99, 
77,GUN,Oct 13 2006,17,0,76,351,70664,43044,0,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,USD,19.99,19.99, 
78,Call of Duty,Oct 13 2006,0,0,91,851,223470,158007,0,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,USD,19.99,19.99, 
79,Call of Duty 2,Oct 13 2006,0,0,86,1307,340226,255573,0,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,USD,19.99,19.99, 
80,Call of Duty: United Offensive,Oct 13 2006,0,0,87,318,189034,96311,0,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,USD,19.99,19.99, 
81,RollerCoaster Tycoon 3: Platinum!,Mar 12 2008,0,0,81,2579,799182,722779,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,USD,19.99,19.99, 
82,Act of War: Direct Action,Mar 12 2008,0,0,82,109,22598,15962,0,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,USD,2.99,2.99, 
83,ThreadSpace: Hyperbol,Jul 12 2007,0,0,0,0,26544,5201,0,False,False,False,True,True,False,False,False,True,False,True,True,False,False,True,False,False,False,False,False,False,False,USD,9.99,9.99,This ones a winner - Ars TechnicaIts very tactical its highly polished and we can pretty much guarantee youve never played anything quite like it. 8 out of 10 - Games Radar9 out of 10 - Hooked Gamers
84,Arma: Combat Operations,Mar 12 2008,0,0,74,181,45196,28158,0,False,False,False,True,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,USD,7.99,7.99, 
85,X2: The Threat,Jul 21 2006,0,0,72,183,231540,54881,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,USD,4.99,4.99, 
86,X3: Reunion,Jul 21 2006,0,1,71,280,357802,139713,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,USD,9.99,9.99, 
87,X3: Terran Conflict,Oct 16 2008,0,3,73,1262,544147,319960,33,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,USD,15.99,15.99, 
88,X: Beyond the Frontier,Oct 8 2010,0,0,67,136,206611,54522,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,USD,4.99,4.99, 
89,X-Tension,Oct 8 2010,0,0,0,0,199975,26006,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,USD,4.99,4.99, 
90,X Rebirth,Nov 15 2013,0,2,33,5637,218806,200513,69,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,USD,29.99,29.99, 
91,688(I) Hunter/Killer,Oct 26 2006,0,0,0,0,40354,16321,0,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,USD,9.99,9.99, 
92,Fleet Command,Oct 26 2006,0,0,0,0,40712,17576,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,USD,9.99,9.99, 
93,Sub Command,Oct 26 2006,0,0,84,0,38740,13810,0,False,False,False,True,True,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,USD,9.99,9.99, 
94,FlatOut 2,Dec 21 2006,0,0,76,2870,417346,281220,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,USD,9.99,9.99, 
95,GTI Racing,Aug 24 2006,0,0,0,0,30669,20267,0,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,USD,4.99,4.99, 
96,Xpand Rally,Aug 24 2006,0,0,82,116,48245,29413,0,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,USD,4.99,4.99, 
97,Call of Juarez,Nov 8 2007,17,0,72,501,104381,56316,0,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,USD,9.99,9.99, 
98,Xpand Rally Xtreme,Oct 8 2008,0,0,0,0,28158,10761,0,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,USD,4.99,4.99, 
99,Men of War: Red Tide,Nov 1 2009,0,0,77,228,243198,74430,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,USD,4.99,4.99, 
100,King's Bounty: Armored Princess,Nov 19 2009,0,0,82,308,369998,113708,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,USD,9.99,2.49, 
101,Painkiller: Gold Edition,Jan 24 2007,17,0,81,0,24033,12016,0,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,USD,9.99,2.49, 
102,Genesis Rising,Aug 6 2007,0,0,57,103,30669,12734,0,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,USD,4.99,4.99, 
103,Safecracker: The Ultimate Puzzle Adventure,Aug 29 2007,0,0,69,321,89854,41788,0,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,USD,4.99,4.99, 
104,Painkiller Overdose,Oct 30 2007,17,0,65,374,256111,67794,0,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,USD,4.99,1.24, 
105,Bejeweled 2 Deluxe,Aug 30 2006,0,0,0,0,53805,35870,0,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,USD,4.99,4.99, 
106,Chuzzle Deluxe,Aug 30 2006,0,0,0,0,37663,22419,0,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,USD,4.99,4.99, 
107,Insaniquarium! Deluxe,Aug 30 2006,0,0,0,414,86626,67077,0,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,USD,4.99,4.99, 
108,Zuma Deluxe,Aug 30 2006,0,0,0,118,55598,34614,0,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,USD,4.99,4.99, 
109,AstroPop Deluxe,Aug 30 2006,0,0,0,0,26544,11478,0,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,USD,4.99,4.99, 
110,Bejeweled Deluxe,Aug 30 2006,0,0,0,0,36587,16141,0,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,USD,4.99,4.99, 
111,Big Money! Deluxe,Aug 30 2006,0,0,0,0,26006,12196,0,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,USD,4.99,4.99, 
112,Dynomite! Deluxe,Aug 30 2006,0,0,0,0,27799,10402,0,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,USD,4.99,4.99, 
113,Feeding Frenzy 2: Shipwreck Showdown Deluxe,Aug 30 2006,0,0,0,159,124110,42327,0,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,USD,4.99,4.99, 
114,Hammer Heads Deluxe,Aug 30 2006,0,0,0,0,25826,9147,0,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,USD,4.99,4.99, 
115,Heavy Weapon Deluxe,Aug 30 2006,0,0,0,0,40712,18473,0,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,USD,4.99,4.99, 
116,Iggle Pop! Deluxe,Aug 30 2006,0,0,0,0,24930,7712,0,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,USD,4.99,4.99, 
117,Pizza Frenzy,Aug 30 2006,0,0,0,0,27261,10940,0,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,USD,4.99,4.99, 
118,Rocket Mania! Deluxe,Aug 30 2006,0,0,0,0,26544,9147,0,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,USD,4.99,4.99, 
119,Typer Shark! Deluxe,Aug 30 2006,0,0,0,0,28158,10223,0,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,USD,4.99,4.99, 
120,Talismania Deluxe,Aug 30 2006,0,0,0,0,26006,8071,0,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,USD,4.99,4.99, 
121,Peggle Deluxe,Mar 6 2007,0,0,0,682,303818,222752,0,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,USD,4.99,4.99,Marc Saltzman of Gannet News Service says:Do yourself a favor and give Peggle a chance -- it might not grab you by the lapels at first but give it a few minutes and you wont be able to pry yourself away from the computer.To read the full review  click here
123,Venice,Jun 25 2007,0,0,0,0,24750,8609,0,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,USD,4.99,4.99, 
124,Mystery P.I.: The Lottery Ticket,Oct 16 2007,0,0,0,0,27261,9506,0,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,USD,4.99,4.99, 
125,Amazing Adventures: The Lost Tomb,Dec 13 2007,0,0,0,0,27261,8250,0,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,USD,4.99,4.99, 
126,Mystery PI: The Vegas Heist,Jun 5 2008,0,0,0,0,26723,8071,0,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,USD,4.99,4.99, 
127,Amazing Adventures Around the World,Apr 15 2009,0,0,0,0,25647,12016,0,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,USD,4.99,4.99, 
128,Peggle Nights,Oct 15 2008,0,0,76,248,209839,131643,0,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,USD,4.99,4.99, 
129,Bejeweled Twist,Nov 18 2008,0,0,78,0,36049,20087,0,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,USD,4.99,4.99, 
130,Mystery P.I.: The New York Fortune,Jan 28 2009,0,0,0,0,24392,6815,0,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,USD,4.99,4.99, 
131,The Wizard's Pen,Feb 18 2009,0,0,0,0,24212,10402,0,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,USD,4.99,4.99, 
132,Plants vs. Zombies: Game of the Year,May 5 2009,0,0,87,6207,1169180,1049195,21,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,USD,4.99,4.99,Funny endless ridiculously good value. - PCGAMER
133,Escape Rosecliff Island,Apr 15 2009,0,0,0,124,116398,27440,0,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,USD,4.99,4.99, 
134,Mystery P.I.: Lost in Los Angeles,Jul 27 2009,0,0,0,0,18294,7174,0,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,USD,4.99,4.99, 
135,Zuma's Revenge,Sep 15 2009,0,0,78,225,102767,52011,14,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,USD,4.99,4.99, 
